n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
500,1.01978,0.363242,0.798687,0.826376,0.885868,0.995318,2.83772
1000,1.97349,0.275817,1.70376,1.81938,1.88767,1.97944,3.02958
1500,3.04939,0.352671,2.62029,2.81176,2.90872,3.2695,4.2344
2000,4.24329,0.416088,3.72834,3.98295,4.14897,4.38432,5.83738
2500,5.32385,0.380532,4.8217,5.11043,5.2262,5.41615,6.93425
3000,6.41461,0.316536,5.85434,6.23818,6.29845,6.56074,7.32283
3500,7.79536,0.456364,7.18499,7.51427,7.6395,7.96498,10.0134
4000,8.95549,0.170904,8.6664,8.85509,8.90777,9.02495,9.52376
4500,10.4606,0.232961,10.0545,10.3214,10.4457,10.5756,11.558
5000,11.8168,0.206755,11.2252,11.6855,11.8343,11.8998,12.418
5500,13.1026,0.287205,12.7709,12.932,13.0039,13.2119,14.3261
6000,14.151,0.294672,13.5482,13.9783,14.063,14.2353,15.1702
6500,15.4479,0.249187,15.0548,15.2925,15.4038,15.5601,16.4347
7000,17.3143,0.38212,16.6224,17.0454,17.2684,17.4749,18.2829
7500,18.7268,0.175957,18.3,18.6523,18.7421,18.8019,19.1821
8000,20.3786,0.564198,19.7043,20.1273,20.2551,20.3761,23.1746
8500,22.2063,0.200848,21.8663,22.0573,22.1924,22.3455,22.8188
9000,23.9705,0.874256,21.3254,23.7614,23.8624,24.14,28.3551
9500,25.743,0.292931,25.1515,25.5241,25.7605,25.9038,26.5008
10000,26.9837,0.312422,26.2762,26.8166,27.0073,27.1786,27.6353
10500,28.4926,0.322882,27.81,28.3051,28.4694,28.6243,29.494
11000,29.8508,0.511795,29.0417,29.5355,29.7852,30.1013,32.4729
11500,31.2041,0.287185,30.7695,31.0317,31.1581,31.3337,31.9746
12000,32.1104,0.242474,31.6182,31.9449,32.0718,32.2605,32.8112
12500,33.3834,0.28366,32.814,33.1744,33.3322,33.4951,34.029
13000,35.0933,0.454424,34.485,34.8112,35.0517,35.1935,37.3168
13500,36.6252,0.291468,36.1146,36.3942,36.6042,36.7984,37.5366
14000,37.6929,2.16761,33.512,37.2617,37.8298,37.9678,52.6746
14500,39.0139,0.322645,38.0113,38.8428,39.0179,39.239,39.5903
15000,40.7367,0.427944,39.9757,40.4885,40.6305,40.9941,42.5316
15500,41.773,0.335553,41.1432,41.5544,41.813,42.0203,42.6584
16000,43.3772,0.317849,42.6669,43.1845,43.3747,43.5705,44.1889
16500,45.2751,0.453731,44.3495,45.0375,45.282,45.4309,47.5832
17000,49.0682,1.10898,44.9013,48.6657,49.0799,49.4996,54.2901
17500,50.1729,0.716729,46.9201,49.8948,50.108,50.4061,53.1689
18000,50.2558,1.66469,44.4917,49.5335,50.1554,51.0321,55.0959
18500,51.6196,1.0991,46.5843,51.1619,51.3979,51.888,55.5267
19000,53.9483,1.29583,47.4841,53.2263,54.1157,54.7069,56.5694
19500,54.7163,1.1557,53.1995,54.3286,54.5751,54.8126,63.2703
20000,57.2944,0.631045,56.0824,56.8224,57.3152,57.6869,58.8151
