n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
100,0.0491338,0.0236029,0.026677,0.030009,0.032275,0.0784528,0.106589
200,0.131916,0.0283678,0.103998,0.111128,0.116759,0.146514,0.246621
300,0.268051,0.042392,0.230459,0.237249,0.244212,0.315303,0.351989
400,0.461234,0.0972215,0.348024,0.382493,0.437822,0.511567,0.821547
500,0.64059,0.112586,0.523608,0.551872,0.601266,0.700163,0.944669
600,0.945324,0.1181,0.798136,0.867609,0.917628,0.97814,1.34162
700,1.31244,0.196905,1.02716,1.20531,1.25022,1.39346,2.00754
800,1.72665,0.190875,1.54459,1.58001,1.67328,1.77997,2.3206
900,2.10274,0.182547,1.95189,1.99287,2.04096,2.13504,3.00914
1000,2.61367,0.199478,2.38958,2.47933,2.54947,2.66959,3.24197
1100,3.12955,0.131362,2.94528,3.05,3.07866,3.2352,3.44894
1200,4.00107,0.541429,3.26457,3.66223,3.81182,4.12914,5.60058
1300,4.48965,0.246837,3.74078,4.40368,4.44124,4.572,5.13203
1400,5.39069,0.232133,5.1032,5.25104,5.29885,5.46375,6.18061
1500,6.40401,1.27019,6.01631,6.05333,6.12051,6.29019,14.2048
1600,7.34727,1.0579,6.41026,7.00645,7.06767,7.23942,12.9195
1700,8.18383,1.41718,7.05278,7.73164,7.89083,8.07761,17.1071
1800,9.22127,1.77819,7.51877,8.70728,8.80265,8.97324,19.6418
1900,10.0336,0.329381,9.63631,9.88043,9.93662,10.0722,11.3533
2000,11.1257,0.607133,9.88958,10.9086,11.0173,11.2088,14.7724
2100,12.6079,1.78169,11.3954,12.1249,12.2663,12.4877,25.3515
2200,13.9587,0.379405,13.4316,13.7317,13.8548,14.0196,15.1952
2300,15.1921,0.243955,14.707,15.0099,15.1587,15.2738,15.8132
2400,17.2274,2.12692,14.8024,16.6423,16.8258,17.1618,32.661
2500,18.286,0.233151,17.7653,18.136,18.2572,18.4104,19.0783
2600,20.0622,0.408441,19.4995,19.763,19.9255,20.3178,21.5093
2700,21.998,0.548742,21.3444,21.6013,21.8863,22.2504,24.1516
2800,23.7261,0.297015,23.0046,23.5872,23.6903,23.839,24.5935
2900,25.5748,0.858333,21.7504,25.3089,25.5109,25.8474,28.0595
3000,27.5937,0.353222,27.1094,27.3696,27.4881,27.7332,28.9551
3100,30.0744,2.24301,25.6676,29.433,29.6438,30.0265,46.0182
3200,32.4377,1.76877,27.0888,31.6841,32.1165,33.5344,40.1547
3300,33.9097,0.427537,33.2393,33.5982,33.8285,34.0959,35.3697
3400,38.8687,1.78684,35.6335,38.2911,38.8181,39.3468,49.3871
3500,38.9623,1.79744,32.2142,37.6384,38.6682,40.3422,42.2651
3600,40.9559,1.37838,36.4453,40.2941,40.6412,41.3578,45.2221
3700,42.6765,0.74811,41.6365,42.2789,42.564,42.8421,46.383
3800,45.8615,1.4849,41.9304,45.0336,45.3821,46.1805,51.5216
3900,49.7718,2.83902,42.8286,47.6927,49.2827,51.9667,62.7668
4000,50.0428,0.703861,48.8607,49.5973,49.9396,50.2164,52.1148
4100,52.7744,0.926895,51.4201,52.2466,52.5549,53.1789,57.363
4200,54.8278,0.61375,53.4525,54.4694,54.7353,55.0556,56.6327
4300,57.7792,0.780382,56.8019,57.3434,57.6227,57.9569,61.6659
4400,61.302,1.29377,59.3714,60.3645,60.9827,62.0677,65.2596
4500,69.9075,4.21464,62.3087,66.8412,72.1005,72.335,75.7836
4600,76.6773,3.24353,72.7053,74.9049,75.3929,78.2748,86.7066
4700,76.7939,1.06482,74.782,75.8706,76.4225,77.5475,79.9651
4800,79.4551,2.33991,76.3557,78.1254,79.1155,79.5859,89.8492
4900,82.9203,3.14392,79.5876,80.9453,81.8627,83.3639,93.4439
5000,84.1173,1.29177,82.8488,83.0328,83.7566,84.9275,87.607
5100,87.695,2.26385,84.7783,86.2683,87.1607,88.0821,97.3845
5200,90.1844,2.16189,87.231,89.3392,89.6483,90.2436,99.9786
5300,93.7904,2.73312,90.1903,92.3405,93.2215,94.0996,104.607
5400,96.3094,2.8135,93.3883,94.8954,95.7366,96.6195,108.321
5500,100.489,1.26577,97.1622,99.736,100.278,100.981,104.414
5600,104.009,2.94511,100.563,102.756,103.494,104.275,119.407
5700,106.78,2.39532,104.055,105.56,106.54,107.682,118.5
5800,109.496,2.64057,106.609,107.774,108.413,111.311,121.937
5900,114.152,3.96809,110.224,111.527,112.686,115.336,128.834
6000,117.363,2.89513,113.525,115.564,116.679,118.461,131.93
6100,125.387,4.47337,117.961,122.978,125.596,127.133,147.78
6200,130.082,5.76353,124.755,127.064,128.323,130.502,156.987
6300,131.084,4.23136,124.793,127.427,129.422,134.498,142.938
6400,134.71,6.26831,129.008,130.954,131.616,137.407,156.515
6500,134.516,1.83575,130.98,133.349,134.631,135.406,142.148
6600,142.238,5.87851,135.257,137.838,139.848,145.394,157.809
6700,146.135,5.51315,140.32,142.816,144.354,148.389,173.83
6800,149.034,3.34372,144.121,146.854,148.61,150.814,164.683
6900,156.789,3.57975,152.443,154.183,156.546,157.944,173.55
7000,162.503,4.88842,157.18,159.066,161.623,163.875,181.149
7100,171.064,11.7692,161.446,163.535,167.157,171.962,217.775
7200,169.752,4.7798,163.547,166.794,168.686,171.028,189.379
7300,174.901,5.66248,170.526,171.634,173.274,175.819,204.404
7400,172.971,3.54353,169.234,170.345,171.855,174.053,189.026
7500,179.958,5.34548,174.104,175.645,177.887,183.36,199.716
7600,184.286,6.17231,177.183,179.285,181.085,189.139,197.288
7700,243.066,31.6966,183.632,208.627,256.882,272.092,282.394
