n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
100,0.0542322,0.0237629,0.025051,0.027714,0.066723,0.067491,0.100629
200,0.120441,0.0257485,0.102511,0.106133,0.110786,0.122979,0.217926
300,0.280248,0.0565882,0.228755,0.238959,0.247215,0.313873,0.488629
400,0.464161,0.0709373,0.405989,0.411983,0.422376,0.530786,0.661813
500,0.671583,0.0934694,0.514112,0.631189,0.638921,0.703098,0.949583
600,0.91684,0.10019,0.791095,0.866216,0.891235,0.931938,1.30079
700,1.27797,0.113782,1.17579,1.22599,1.24221,1.27141,1.88037
800,1.67797,0.0295668,1.61864,1.66674,1.67009,1.68156,1.79649
900,2.15708,0.108113,2.05198,2.10723,2.12169,2.16347,2.60615
1000,2.69978,0.362177,2.263,2.45839,2.55783,2.85145,3.83014
1100,3.22552,0.207708,3.00476,3.08984,3.16515,3.25174,3.91639
1200,3.87984,0.168305,3.67445,3.75854,3.82722,3.92467,4.40497
1300,4.5305,0.103214,4.40096,4.449,4.52277,4.60308,4.81667
1400,5.27599,0.129157,5.10425,5.19791,5.25174,5.31788,5.85925
1500,6.3294,0.498923,5.30804,6.05262,6.21516,6.50689,9.12205
1600,6.93839,0.184582,5.97124,6.87589,6.93109,7.01826,7.38556
1700,8.12567,0.294902,7.7251,7.92594,8.04759,8.31315,8.9023
1800,9.06071,0.190581,8.89377,8.91467,8.99,9.16426,9.71911
1900,10.1403,0.359155,9.89383,9.93502,10.0616,10.2169,12.0185
2000,11.251,0.347952,9.73136,11.1611,11.2926,11.3285,12.6903
2100,12.5355,0.39311,11.215,12.4591,12.5427,12.6796,13.9941
2200,13.9216,0.250662,13.669,13.7495,13.8602,13.9824,14.7072
2300,16.0907,0.619967,14.7846,15.6431,16.1907,16.3878,19.0328
2400,17.9186,0.369156,17.1554,17.6294,17.8926,18.1778,19.1811
2500,19.6871,0.972287,16.7537,19.4394,19.5696,19.8799,25.6326
2600,20.7028,1.29087,18.2154,20.0567,20.4511,21.4862,28.3359
2700,22.6443,0.494554,21.8712,22.243,22.5735,22.9098,24.2312
2800,24.3192,0.518348,23.6102,23.9783,24.1866,24.491,26.3233
2900,26.2858,0.310372,25.6822,26.0998,26.2421,26.451,27.1162
3000,28.187,0.431011,27.7336,27.9551,28.0938,28.2865,30.7173
3100,30.3376,0.430956,29.6969,30.0174,30.2346,30.5851,31.8184
3200,33.0513,0.948733,31.4446,32.273,32.8957,33.7451,35.7351
3300,35.5693,1.35538,31.9466,34.7887,35.4271,36.0986,39.3552
3400,36.4481,0.392517,35.8456,36.1836,36.3746,36.7168,37.5778
3500,38.6402,0.436837,37.98,38.3669,38.644,38.7979,40.4931
3600,40.9158,0.50855,40.2131,40.5809,40.8102,41.1091,43.4197
3700,44.0755,0.784699,42.6251,43.5878,43.8837,44.4675,46.0011
3800,50.9368,2.55444,47.0629,49.671,50.3115,51.8175,67.135
3900,53.2048,1.21885,51.2896,52.4054,53.0301,53.5626,57.9036
4000,54.1681,2.92839,47.2484,51.0831,55.3169,56.1931,59.1315
4100,53.4866,0.759381,52.2827,52.8874,53.3229,54.0069,55.3645
4200,57.5351,2.27181,54.9638,55.8894,56.7786,57.7079,64.4713
4300,64.0693,1.9558,59.3692,63.1774,63.8241,64.7067,74.6006
4400,72.7787,2.53767,66.9214,71.1089,72.545,73.4029,81.083
4500,78.9048,5.11319,73.4663,75.7431,77.0097,82.2619,102.474
4600,75.9896,2.46509,72.8251,74.0777,75.5691,77.714,82.6976
4700,80.3827,4.46725,76.3416,78.2805,78.8222,81.6569,107.934
4800,80.2951,2.48301,76.6565,79.0568,79.4473,81.4435,87.4513
4900,83.6226,2.70811,80.1645,81.966,82.4275,84.3918,91.4114
5000,85.466,2.15791,82.8205,84.1245,85.2081,85.8505,94.3441
5100,90.5122,3.47943,86.1643,88.7363,89.2795,91.3907,100.226
5200,92.3569,3.77874,89.563,89.7314,90.4195,93.6217,103.746
5300,94.6615,1.63421,93.0347,93.2981,94.2041,95.6804,99.9758
5400,101.143,5.67503,95.9107,96.7519,99.5102,103.679,119.118
5500,102.722,3.42994,97.0637,100.472,101.786,103.873,114.167
5600,107.07,3.71319,103.683,104.229,106.354,107.666,119.685
5700,120.861,11.1708,107.631,111.605,116.616,128.604,144.539
5800,128.556,12.8556,108.028,119.764,125.768,136.181,156.188
5900,119.634,3.89711,112.396,116.564,119.246,122.213,132.846
6000,122.604,5.24451,115.881,119.296,121.436,123.74,146.396
6100,129.016,6.33117,119.52,124,127.754,132.481,144.183
6200,132.905,8.15042,123.059,127.576,131.689,134.067,167.832
6300,141.485,5.75801,130.534,137.231,141.364,143.538,157.293
6400,141.917,7.37808,131.608,136.255,140.699,144.232,171.3
