n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
500,0.662953,0.200148,0.503061,0.572946,0.586231,0.682684,1.59053
1000,2.38162,0.338885,2.00245,2.17958,2.28959,2.36571,3.79493
1500,5.42341,0.269362,5.01037,5.28909,5.37741,5.46459,6.71131
2000,9.79529,0.226397,9.44011,9.62984,9.73054,9.8965,10.4459
2500,15.4546,0.287927,14.9226,15.2728,15.4328,15.5411,16.5008
3000,23.1727,1.51083,20.193,22.6872,23.075,23.3277,30.3707
3500,31.0894,0.528151,30.0224,30.723,31.0306,31.4282,32.7651
4000,41.4311,0.575563,40.3383,41.082,41.333,41.6088,43.1993
4500,54.1822,1.23674,51.3454,53.4458,53.9715,54.7458,58.7113
5000,68.5163,1.34947,65.9054,67.8131,68.2846,69.2776,74.7171
5500,84.1022,1.07721,82.0175,83.4368,83.84,84.4852,88.948
6000,103.807,3.21407,96.7728,101.706,103.33,105.743,119.999
6500,120.151,1.54662,117.427,118.975,120.042,121.058,124.634
7000,139.182,2.16876,136.153,137.772,138.51,140.46,148.51
7500,160.497,2.04948,156.986,158.864,160.335,161.659,166.267
8000,182.55,2.04146,179.142,181.099,182.419,183.32,189.141
8500,206.079,3.07352,200.709,203.824,206.155,208.173,214.544
9000,230.425,3.10677,225.585,227.699,230.308,232.186,239.167
9500,262.099,4.83935,253.214,260.233,262.206,264.508,285.333
10000,290.438,3.00051,284.774,288.62,290.174,291.845,303.244
10500,318.236,3.24464,311.15,316.1,318.244,320.3,325.29
11000,341.819,3.9768,335.362,338.552,341.401,344.841,351.362
11500,383.722,4.36805,375.823,381.106,382.758,385.309,399.682
12000,418.34,3.99788,412.795,415.351,417.52,420.904,432.66
12500,451.073,6.43847,434.288,447.903,451.572,455.591,467.472
13000,485.075,7.15579,464.984,480.879,484.262,488.715,511.569
13500,521.24,8.78146,506.07,515.148,519.39,526.529,557.076
14000,566.282,9.64108,549.136,558.03,564.763,574.234,586.058
14500,600.224,5.23289,591.576,596.492,599.134,603.568,616.961
15000,643.181,9.93419,627.896,636.175,639.499,649.698,665.843
15500,680.503,11.6953,663.09,672.634,679.368,684.19,725.159
16000,722.226,12.7471,701.81,711.068,720.679,732.833,749.489
16500,762.78,8.62384,748.234,756.82,761.027,767.642,787.679
17000,832.518,5.06456,812.99,830.028,833.326,835.909,845.442
17500,869.592,14.4537,847.958,861.258,866.675,874.799,939.404
18000,920.416,7.35347,903.48,915.228,919.575,924.877,935.369
18500,969.973,7.72768,952.324,965.754,970.434,974.737,988.952
19000,1037.39,18.784,1015.43,1026.58,1033.27,1039.9,1135.6
19500,1087.25,8.05657,1068.18,1082.36,1086.82,1092.32,1117.3
20000,1141.3,14.8582,1106.69,1134.54,1139.42,1144.51,1194.35
