n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
100,0.230052,0.0959837,0.149784,0.169197,0.187872,0.241207,0.481143
200,0.417838,0.0794803,0.333442,0.359372,0.380793,0.473769,0.643551
300,0.621328,0.10731,0.534457,0.548161,0.563824,0.689454,1.01923
400,0.770859,0.125777,0.593926,0.68894,0.714312,0.856949,1.11291
500,0.931355,0.083986,0.792441,0.901493,0.916524,0.941769,1.26266
600,1.26418,0.345915,1.09127,1.11721,1.1365,1.16404,2.48708
700,1.61356,0.489905,1.11385,1.26114,1.3514,1.87748,2.90532
800,1.55715,0.0554028,1.46023,1.52036,1.55347,1.57399,1.77777
900,1.78165,0.0890322,1.67033,1.74473,1.76529,1.794,2.23117
1000,1.98259,0.0792843,1.90525,1.94464,1.96801,1.992,2.46892
1100,2.22966,0.0682304,2.17223,2.19419,2.21282,2.24364,2.58112
1200,2.45043,0.17903,2.24461,2.34,2.39496,2.5251,2.98264
1300,2.62462,0.0944161,2.51028,2.56029,2.60898,2.64574,2.96422
1400,2.82933,0.240315,2.63546,2.72853,2.76618,2.82276,4.43854
1500,3.06797,0.190328,2.72781,2.97259,3.00523,3.07141,3.69032
1600,3.22877,0.145349,3.057,3.13852,3.18644,3.25819,3.83739
1700,3.55154,0.239623,3.2386,3.42044,3.4684,3.60225,4.46986
1800,3.82085,0.393256,3.26637,3.59253,3.75029,3.9249,5.37569
1900,3.87718,0.220016,3.42863,3.75387,3.88158,3.94096,4.61358
2000,4.19741,0.238308,3.91271,4.03996,4.14855,4.28115,5.35399
2100,4.52345,0.157594,4.1994,4.44399,4.48187,4.5737,5.14813
2200,4.6981,0.0862749,4.54592,4.64211,4.68033,4.75087,5.12524
2300,4.79526,0.0631632,4.67298,4.74547,4.7872,4.857,4.90238
2400,5.05593,0.208164,4.52159,4.96462,5.05057,5.09498,5.96653
2500,5.30994,0.0902388,5.17457,5.24669,5.27721,5.37263,5.62402
2600,5.57133,0.0690064,5.42256,5.51533,5.58589,5.63692,5.69307
2700,5.93064,0.0554777,5.84924,5.89298,5.91914,5.95747,6.08855
2800,6.19431,0.174991,5.89343,6.10915,6.16912,6.23075,7.13918
2900,6.39825,0.0767866,6.21061,6.3656,6.41552,6.44229,6.63452
3000,6.71911,0.199913,6.48236,6.63138,6.66713,6.71528,7.60233
3100,7.03971,0.920261,5.60635,6.80177,6.83244,6.87089,10.9771
3200,6.97928,0.162597,6.44857,6.89409,7.03223,7.08517,7.189
3300,7.21736,0.0768689,7.0373,7.16758,7.22366,7.26971,7.36922
3400,7.76341,0.764467,7.26837,7.46466,7.52781,7.75841,11.7295
3500,8.02661,0.130387,7.74251,7.96766,8.00472,8.07803,8.66729
3600,8.41111,0.154067,8.15864,8.27645,8.44446,8.50551,8.90887
3700,8.76243,0.251462,8.42166,8.58911,8.71423,8.79384,9.4676
3800,8.59624,0.770764,7.18508,8.26164,8.72471,8.87526,13.1076
3900,8.79563,0.734094,8.07742,8.53241,8.60366,8.7766,13.0993
4000,8.99283,0.332124,7.45079,8.87388,9.06267,9.13999,9.45097
4100,9.29945,0.11399,9.0451,9.23562,9.31393,9.3533,9.74703
4200,10.0818,0.868504,8.91836,9.72402,9.94484,10.0903,14.8722
4300,10.4241,0.189636,9.96191,10.3311,10.3729,10.4748,11.471
4400,11.0839,0.31123,10.5936,10.9033,11.0087,11.4128,11.9466
4500,10.9098,1.21435,9.11292,10.475,10.8766,11.1708,17.2386
4600,10.9144,0.646048,8.56849,10.7065,10.9364,11.1904,13.268
4700,11.0619,0.839576,10.6813,10.8424,10.9236,10.9645,17.2385
4800,11.1631,0.464209,9.04497,11.1359,11.191,11.2564,12.9673
4900,11.7012,0.480523,9.90513,11.4237,11.5042,12.0391,13.7456
