n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
100,0.222929,0.105247,0.137663,0.158795,0.184342,0.230529,0.53712
200,0.386015,0.0677235,0.299152,0.334909,0.354899,0.439809,0.539583
300,0.572027,0.0974596,0.461408,0.49661,0.543046,0.610879,0.99593
400,0.750428,0.122879,0.586574,0.674202,0.706848,0.797044,1.16112
500,0.958639,0.118663,0.797679,0.881609,0.919605,0.988422,1.29951
600,1.17991,0.154809,1.0631,1.10277,1.12441,1.16899,1.90351
700,1.36711,0.0931281,1.27481,1.31948,1.33067,1.3599,1.72355
800,1.57813,0.158623,1.42833,1.4672,1.50694,1.65563,2.08105
900,1.76553,0.157108,1.61414,1.66152,1.72733,1.76807,2.36293
1000,1.98173,0.110078,1.86934,1.92099,1.93773,2.00478,2.42211
1100,2.19293,0.0666578,2.1412,2.15588,2.1778,2.21022,2.61386
1200,2.45839,0.177708,2.28596,2.36087,2.39075,2.44087,3.16344
1300,2.62678,0.14363,2.46977,2.57192,2.59675,2.61775,3.3457
1400,2.7762,0.137587,2.52789,2.70049,2.76475,2.85078,3.37599
1500,3.08939,0.0542652,3.00888,3.04439,3.08666,3.1217,3.29795
1600,3.4905,0.625494,2.60899,3.22521,3.27059,3.32992,5.65444
1700,3.51719,0.160526,3.3925,3.45467,3.50736,3.52971,4.64108
1800,3.69497,0.0473031,3.57789,3.68089,3.70419,3.71654,3.80444
1900,3.99344,0.0790348,3.83232,3.93719,3.97843,4.05167,4.2459
2000,4.14611,0.397387,3.42834,4.09698,4.12718,4.16329,6.49183
2100,4.21085,0.112679,3.89527,4.14679,4.20442,4.26926,4.73724
2200,4.51736,0.0617911,4.44571,4.48761,4.50373,4.5248,4.90658
2300,4.70394,0.0440307,4.57995,4.68238,4.69789,4.72451,4.82917
2400,4.94088,0.0698313,4.8692,4.89858,4.9239,4.95591,5.31311
2500,5.2126,0.0873376,5.08481,5.14502,5.22001,5.24245,5.68074
2600,5.39455,0.0662869,5.26207,5.34679,5.40778,5.44228,5.55872
2700,5.6367,0.0858529,5.44607,5.60682,5.64212,5.67141,5.95421
2800,5.97448,0.278431,5.76199,5.85888,5.89652,6.00023,7.84268
2900,6.12707,0.114349,5.80087,6.04439,6.14696,6.19403,6.58539
3000,6.48182,0.206117,6.1651,6.36289,6.40419,6.63343,6.95511
3100,6.44511,0.0774976,6.33543,6.39875,6.42395,6.4694,6.77773
3200,6.75183,0.0832509,6.5607,6.69901,6.76062,6.79556,6.98706
3300,6.98473,0.0927524,6.78763,6.92735,6.995,7.02635,7.24979
3400,7.1859,0.099728,6.98843,7.10972,7.20771,7.24873,7.38669
3500,7.48233,0.0746418,7.37099,7.42398,7.4638,7.53922,7.70341
3600,7.91147,0.75089,6.75429,7.68854,7.81177,7.8973,11.6677
3700,8.20656,0.464643,7.16643,8.09273,8.16275,8.27925,11.1485
3800,8.44493,0.294895,8.0148,8.31216,8.34063,8.39315,9.33977
3900,8.59889,0.102783,8.46875,8.51895,8.56208,8.66248,8.84558
4000,8.87789,0.126527,8.68686,8.75554,8.89113,8.98265,9.18148
4100,9.04642,0.114925,8.91139,8.95214,9.00719,9.12577,9.33756
4200,9.53083,0.111487,9.32322,9.43839,9.54181,9.62378,9.73864
4300,9.97193,0.31092,9.58509,9.75817,9.88999,10.0744,10.7811
4400,10.0976,0.145533,9.79749,9.99568,10.1447,10.1876,10.481
4500,10.5229,0.168178,10.2352,10.4443,10.4846,10.5447,11.2904
4600,10.8792,0.23611,10.3866,10.7184,10.8006,11.0248,11.6316
4700,11.1533,0.178321,10.8647,10.9794,11.1596,11.3189,11.4956
4800,11.4451,0.135632,11.1315,11.3327,11.4879,11.5437,11.744
4900,11.4156,0.148074,11.1874,11.2947,11.3822,11.499,11.7967
5000,11.8792,0.910618,10.2661,11.5594,11.7029,11.8655,16.8893
5100,12.2816,0.227322,11.1493,12.2464,12.3183,12.4029,12.6254
5200,12.5527,0.348949,10.8258,12.4653,12.5482,12.6336,14.2236
5300,12.9125,0.79139,10.0493,12.7001,12.79,13.1279,16.1242
5400,13.3362,0.14567,12.9845,13.2916,13.3434,13.3972,13.9456
5500,13.5324,0.625901,11.0437,13.4703,13.5566,13.6276,16.5509
5600,13.8059,0.765744,10.7309,13.5943,13.8418,14.0267,16.696
5700,13.7804,0.157399,13.2471,13.6797,13.8013,13.8891,14.0448
5800,13.9186,0.156715,13.6397,13.8035,13.8779,14.0222,14.2773
5900,14.1679,0.14466,13.9119,14.0576,14.1571,14.2679,14.5683
6000,14.3782,0.147526,14.0866,14.2746,14.3828,14.4753,14.7783
6100,14.9206,0.808909,11.9915,14.7021,14.8655,15.0631,19.722
6200,15.3226,0.230653,15.0976,15.1511,15.2396,15.4561,16.3777
6300,15.6672,0.478999,15.3,15.3897,15.4811,15.7613,17.595
6400,15.8624,0.312158,15.5374,15.6179,15.7688,16.0102,17.5119
6500,16.0799,0.547276,13.9184,15.8938,16.0808,16.3639,18.2791
6600,16.0541,0.761598,12.7737,15.8284,16.04,16.4043,19.2269
6700,16.3196,0.1542,15.9719,16.2104,16.3348,16.408,16.8707
6800,16.7105,0.678672,14.305,16.5972,16.701,16.8103,18.8563
6900,16.1832,0.963277,12.7983,15.973,16.3319,16.4788,19.9946
7000,16.8915,0.206695,16.524,16.7142,16.876,17.0839,17.221
